
--------------------
r=5, d=7, c=1, t=3

m=55, i3	 success=967
m=56, i4	 success=972
m=57, i5	 success=974
m=58, i6	 success=967
m=59, i7	 success=969
m=60, i8	 success=970
m=61, i9	 success=981
m=62, i10	 success=980
m=63, i11	 success=979
m=64, i12	 success=975
m=65, i13	 success=981
m=66, i14	 success=991
m=67, i15	 success=993
m=68, i16	 success=999
m=69, i17	 success=999
m=70, i18	 success=1000
m=71, i19	 success=1000
m=72, i20	 success=1000
m=73, i21	 success=999
m=74, i22	 success=1000
m=75, i23	 success=1000
m=76, i24	 success=1000
m=77, i25	 success=1000
m=78, i26	 success=1000
m=79, i27	 success=1000
m=80, i28	 success=1000
m=81, i29	 success=1000
m=82, i30	 success=1000
m=83, i31	 success=1000
m=84, i32	 success=1000
m=85, i33	 success=1000
m=86, i34	 success=1000
m=87, i35	 success=1000

--------------------
r=5, d=7, c=1, t=4

m=49, i3	 success=786
m=50, i4	 success=864
m=51, i5	 success=966
m=52, i6	 success=992
m=53, i7	 success=1000
m=54, i8	 success=999
m=55, i9	 success=1000
m=56, i10	 success=1000
m=57, i11	 success=1000
m=58, i12	 success=1000
m=59, i13	 success=1000
m=60, i14	 success=1000
m=61, i15	 success=1000
m=62, i16	 success=1000
m=63, i17	 success=1000
m=64, i18	 success=1000
m=65, i19	 success=1000
m=66, i20	 success=1000
m=67, i21	 success=1000
m=68, i22	 success=1000
m=69, i23	 success=1000
m=70, i24	 success=1000
m=71, i25	 success=1000
m=72, i26	 success=1000
m=73, i27	 success=1000
m=74, i28	 success=1000
m=75, i29	 success=1000
m=76, i30	 success=1000
m=77, i31	 success=1000
m=78, i32	 success=1000
m=79, i33	 success=1000
m=80, i34	 success=1000
m=81, i35	 success=1000

--------------------
r=5, d=7, c=1, t=5

m=46, i3	 success=882
m=47, i4	 success=978
m=48, i5	 success=992
m=49, i6	 success=992
m=50, i7	 success=995
m=51, i8	 success=999
m=52, i9	 success=999
m=53, i10	 success=1000
m=54, i11	 success=1000
m=55, i12	 success=1000
m=56, i13	 success=1000
m=57, i14	 success=1000
m=58, i15	 success=1000
m=59, i16	 success=1000
m=60, i17	 success=1000
m=61, i18	 success=1000
m=62, i19	 success=1000
m=63, i20	 success=1000
m=64, i21	 success=1000
m=65, i22	 success=1000
m=66, i23	 success=1000
m=67, i24	 success=1000
m=68, i25	 success=1000
m=69, i26	 success=1000
m=70, i27	 success=1000
m=71, i28	 success=1000
m=72, i29	 success=1000
m=73, i30	 success=1000
m=74, i31	 success=1000
m=75, i32	 success=1000
m=76, i33	 success=1000
m=77, i34	 success=1000
m=78, i35	 success=1000

--------------------
r=5, d=7, c=1, t=6

m=45, i3	 success=867
m=46, i4	 success=982
m=47, i5	 success=995
m=48, i6	 success=999
m=49, i7	 success=1000
m=50, i8	 success=1000
m=51, i9	 success=1000
m=52, i10	 success=1000
m=53, i11	 success=1000
m=54, i12	 success=1000
m=55, i13	 success=1000
m=56, i14	 success=1000
m=57, i15	 success=1000
m=58, i16	 success=1000
m=59, i17	 success=1000
m=60, i18	 success=1000
m=61, i19	 success=1000
m=62, i20	 success=1000
m=63, i21	 success=1000
m=64, i22	 success=1000
m=65, i23	 success=1000
m=66, i24	 success=1000
m=67, i25	 success=1000
m=68, i26	 success=1000
m=69, i27	 success=1000
m=70, i28	 success=1000
m=71, i29	 success=1000
m=72, i30	 success=1000
m=73, i31	 success=1000
m=74, i32	 success=1000
m=75, i33	 success=1000
m=76, i34	 success=1000
m=77, i35	 success=1000
