
--------------------
r=7, d=7, c=1, t=3

m=76, i3	 success=977
m=77, i4	 success=982
m=78, i5	 success=976
m=79, i6	 success=977
m=80, i7	 success=983
m=81, i8	 success=984
m=82, i9	 success=982
m=83, i10	 success=978
m=84, i11	 success=972
m=85, i12	 success=974
m=86, i13	 success=978
m=87, i14	 success=986
m=88, i15	 success=984
m=89, i16	 success=970
m=90, i17	 success=980
m=91, i18	 success=987
m=92, i19	 success=990
m=93, i20	 success=995
m=94, i21	 success=998
m=95, i22	 success=999
m=96, i23	 success=998
m=97, i24	 success=997
m=98, i25	 success=1000
m=99, i26	 success=1000
m=100, i27	 success=1000
m=101, i28	 success=1000
m=102, i29	 success=1000
m=103, i30	 success=1000
m=104, i31	 success=1000
m=105, i32	 success=1000
m=106, i33	 success=1000
m=107, i34	 success=1000
m=108, i35	 success=1000
m=109, i36	 success=1000
m=110, i37	 success=1000
m=111, i38	 success=1000
m=112, i39	 success=1000
m=113, i40	 success=1000
m=114, i41	 success=1000
m=115, i42	 success=1000
m=116, i43	 success=1000
m=117, i44	 success=1000
m=118, i45	 success=1000
m=119, i46	 success=1000
m=120, i47	 success=1000
m=121, i48	 success=1000
m=122, i49	 success=1000

--------------------
r=7, d=7, c=1, t=4

m=68, i3	 success=846
m=69, i4	 success=871
m=70, i5	 success=913
m=71, i6	 success=967
m=72, i7	 success=996
m=73, i8	 success=995
m=74, i9	 success=997
m=75, i10	 success=1000
m=76, i11	 success=1000
m=77, i12	 success=1000
m=78, i13	 success=1000
m=79, i14	 success=1000
m=80, i15	 success=1000
m=81, i16	 success=1000
m=82, i17	 success=1000
m=83, i18	 success=1000
m=84, i19	 success=1000
m=85, i20	 success=1000
m=86, i21	 success=1000
m=87, i22	 success=1000
m=88, i23	 success=1000
m=89, i24	 success=1000
m=90, i25	 success=1000
m=91, i26	 success=1000
m=92, i27	 success=1000
m=93, i28	 success=1000
m=94, i29	 success=1000
m=95, i30	 success=1000
m=96, i31	 success=1000
m=97, i32	 success=1000
m=98, i33	 success=1000
m=99, i34	 success=1000
m=100, i35	 success=1000
m=101, i36	 success=1000
m=102, i37	 success=1000
m=103, i38	 success=1000
m=104, i39	 success=1000
m=105, i40	 success=1000
m=106, i41	 success=1000
m=107, i42	 success=1000
m=108, i43	 success=1000
m=109, i44	 success=1000
m=110, i45	 success=1000
m=111, i46	 success=1000
m=112, i47	 success=1000
m=113, i48	 success=1000
m=114, i49	 success=1000

--------------------
r=7, d=7, c=1, t=5

m=64, i3	 success=909
m=65, i4	 success=982
m=66, i5	 success=989
m=67, i6	 success=995
m=68, i7	 success=993
m=69, i8	 success=991
m=70, i9	 success=998
m=71, i10	 success=998
m=72, i11	 success=1000
m=73, i12	 success=1000
m=74, i13	 success=1000
m=75, i14	 success=1000
m=76, i15	 success=1000
m=77, i16	 success=1000
m=78, i17	 success=1000
m=79, i18	 success=1000
m=80, i19	 success=1000
m=81, i20	 success=1000
m=82, i21	 success=1000
m=83, i22	 success=1000
m=84, i23	 success=1000
m=85, i24	 success=1000
m=86, i25	 success=1000
m=87, i26	 success=1000
m=88, i27	 success=1000
m=89, i28	 success=1000
m=90, i29	 success=1000
m=91, i30	 success=1000
m=92, i31	 success=1000
m=93, i32	 success=1000
m=94, i33	 success=1000
m=95, i34	 success=1000
m=96, i35	 success=1000
m=97, i36	 success=1000
m=98, i37	 success=1000
m=99, i38	 success=1000
m=100, i39	 success=1000
m=101, i40	 success=1000
m=102, i41	 success=1000
m=103, i42	 success=1000
m=104, i43	 success=1000
m=105, i44	 success=1000
m=106, i45	 success=1000
m=107, i46	 success=1000
m=108, i47	 success=1000
m=109, i48	 success=1000
m=110, i49	 success=1000

--------------------
r=7, d=7, c=1, t=6

m=61, i3	 success=860
m=62, i4	 success=886
m=63, i5	 success=932
m=64, i6	 success=992
m=65, i7	 success=998
m=66, i8	 success=1000
m=67, i9	 success=1000
m=68, i10	 success=1000
m=69, i11	 success=1000
m=70, i12	 success=1000
m=71, i13	 success=999
m=72, i14	 success=1000
m=73, i15	 success=1000
m=74, i16	 success=1000
m=75, i17	 success=1000
m=76, i18	 success=1000
m=77, i19	 success=1000
m=78, i20	 success=1000
m=79, i21	 success=1000
m=80, i22	 success=1000
m=81, i23	 success=1000
m=82, i24	 success=1000
m=83, i25	 success=1000
m=84, i26	 success=1000
m=85, i27	 success=1000
m=86, i28	 success=1000
m=87, i29	 success=1000
m=88, i30	 success=1000
m=89, i31	 success=1000
m=90, i32	 success=1000
m=91, i33	 success=1000
m=92, i34	 success=1000
m=93, i35	 success=1000
m=94, i36	 success=1000
m=95, i37	 success=1000
m=96, i38	 success=1000
m=97, i39	 success=1000
m=98, i40	 success=1000
m=99, i41	 success=1000
m=100, i42	 success=1000
m=101, i43	 success=1000
m=102, i44	 success=1000
m=103, i45	 success=1000
m=104, i46	 success=1000
m=105, i47	 success=1000
m=106, i48	 success=1000
m=107, i49	 success=1000

--------------------
r=7, d=7, c=1, t=7

m=60, i3	 success=724
m=61, i4	 success=961
m=62, i5	 success=990
m=63, i6	 success=988
m=64, i7	 success=999
m=65, i8	 success=1000
m=66, i9	 success=1000
m=67, i10	 success=1000
m=68, i11	 success=1000
m=69, i12	 success=1000
m=70, i13	 success=1000
m=71, i14	 success=1000
m=72, i15	 success=1000
m=73, i16	 success=1000
m=74, i17	 success=1000
m=75, i18	 success=1000
m=76, i19	 success=1000
m=77, i20	 success=1000
m=78, i21	 success=1000
m=79, i22	 success=1000
m=80, i23	 success=1000
m=81, i24	 success=1000
m=82, i25	 success=1000
m=83, i26	 success=1000
m=84, i27	 success=1000
m=85, i28	 success=1000
m=86, i29	 success=1000
m=87, i30	 success=1000
m=88, i31	 success=1000
m=89, i32	 success=1000
m=90, i33	 success=1000
m=91, i34	 success=1000
m=92, i35	 success=1000
m=93, i36	 success=1000
m=94, i37	 success=1000
m=95, i38	 success=1000
m=96, i39	 success=1000
m=97, i40	 success=1000
m=98, i41	 success=1000
m=99, i42	 success=1000
m=100, i43	 success=1000
m=101, i44	 success=1000
m=102, i45	 success=1000
m=103, i46	 success=1000
m=104, i47	 success=1000
m=105, i48	 success=1000
m=106, i49	 success=1000

--------------------
r=7, d=7, c=1, t=8

m=59, i3	 success=530
m=60, i4	 success=869
m=61, i5	 success=989
m=62, i6	 success=999
m=63, i7	 success=999
m=64, i8	 success=1000
m=65, i9	 success=1000
m=66, i10	 success=1000
m=67, i11	 success=1000
m=68, i12	 success=1000
m=69, i13	 success=1000
m=70, i14	 success=1000
m=71, i15	 success=1000
m=72, i16	 success=1000
m=73, i17	 success=1000
m=74, i18	 success=1000
m=75, i19	 success=1000
m=76, i20	 success=1000
m=77, i21	 success=1000
m=78, i22	 success=1000
m=79, i23	 success=1000
m=80, i24	 success=1000
m=81, i25	 success=1000
m=82, i26	 success=1000
m=83, i27	 success=1000
m=84, i28	 success=1000
m=85, i29	 success=1000
m=86, i30	 success=1000
m=87, i31	 success=1000
m=88, i32	 success=1000
