
--------------------
r=7, d=8, c=1, t=3

m=87, i3	 success=988
m=88, i4	 success=995
m=89, i5	 success=990
m=90, i6	 success=994
m=91, i7	 success=984
m=92, i8	 success=992
m=93, i9	 success=991
m=94, i10	 success=988
m=95, i11	 success=992
m=96, i12	 success=992
m=97, i13	 success=992
m=98, i14	 success=994
m=99, i15	 success=989
m=100, i16	 success=991
m=101, i17	 success=997
m=102, i18	 success=996
m=103, i19	 success=992
m=104, i20	 success=987
m=105, i21	 success=988
m=106, i22	 success=996
m=107, i23	 success=998
m=108, i24	 success=999
m=109, i25	 success=1000
m=110, i26	 success=1000
m=111, i27	 success=1000
m=112, i28	 success=1000
m=113, i29	 success=1000
m=114, i30	 success=1000
m=115, i31	 success=1000
m=116, i32	 success=1000
m=117, i33	 success=1000
m=118, i34	 success=1000
m=119, i35	 success=1000
m=120, i36	 success=1000
m=121, i37	 success=1000
m=122, i38	 success=1000
m=123, i39	 success=1000
m=124, i40	 success=1000
m=125, i41	 success=1000
m=126, i42	 success=1000
m=127, i43	 success=1000
m=128, i44	 success=1000
m=129, i45	 success=1000
m=130, i46	 success=1000
m=131, i47	 success=1000
m=132, i48	 success=1000
m=133, i49	 success=1000
m=134, i50	 success=1000
m=135, i51	 success=1000
m=136, i52	 success=1000
m=137, i53	 success=1000
m=138, i54	 success=1000
m=139, i55	 success=1000
m=140, i56	 success=1000

--------------------
r=7, d=8, c=1, t=4

m=77, i3	 success=953
m=78, i4	 success=935
m=79, i5	 success=919
m=80, i6	 success=937
m=81, i7	 success=970
m=82, i8	 success=993
m=83, i9	 success=999
m=84, i10	 success=1000
m=85, i11	 success=1000
m=86, i12	 success=1000
m=87, i13	 success=1000
m=88, i14	 success=1000
m=89, i15	 success=1000
m=90, i16	 success=1000
m=91, i17	 success=1000
m=92, i18	 success=1000
m=93, i19	 success=1000
m=94, i20	 success=1000
m=95, i21	 success=1000
m=96, i22	 success=1000
m=97, i23	 success=1000
m=98, i24	 success=1000
m=99, i25	 success=1000
m=100, i26	 success=1000
m=101, i27	 success=1000
m=102, i28	 success=1000
m=103, i29	 success=1000
m=104, i30	 success=1000
m=105, i31	 success=1000
m=106, i32	 success=1000
m=107, i33	 success=1000
m=108, i34	 success=1000
m=109, i35	 success=1000
m=110, i36	 success=1000
m=111, i37	 success=1000
m=112, i38	 success=1000
m=113, i39	 success=1000
m=114, i40	 success=1000
m=115, i41	 success=1000
m=116, i42	 success=1000
m=117, i43	 success=1000
m=118, i44	 success=1000
m=119, i45	 success=1000
m=120, i46	 success=1000
m=121, i47	 success=1000
m=122, i48	 success=1000
m=123, i49	 success=1000
m=124, i50	 success=1000
m=125, i51	 success=1000
m=126, i52	 success=1000
m=127, i53	 success=1000
m=128, i54	 success=1000
m=129, i55	 success=1000
m=130, i56	 success=1000

--------------------
r=7, d=8, c=1, t=5

m=73, i3	 success=929
m=74, i4	 success=986
m=75, i5	 success=1000
m=76, i6	 success=1000
m=77, i7	 success=999
m=78, i8	 success=998
m=79, i9	 success=1000
m=80, i10	 success=996
m=81, i11	 success=1000
m=82, i12	 success=1000
m=83, i13	 success=1000
m=84, i14	 success=1000
m=85, i15	 success=1000
m=86, i16	 success=1000
m=87, i17	 success=1000
m=88, i18	 success=1000
m=89, i19	 success=1000
m=90, i20	 success=1000
m=91, i21	 success=1000
m=92, i22	 success=1000
m=93, i23	 success=1000
m=94, i24	 success=1000
m=95, i25	 success=1000
m=96, i26	 success=1000
m=97, i27	 success=1000
m=98, i28	 success=1000
m=99, i29	 success=1000
m=100, i30	 success=1000
m=101, i31	 success=1000
m=102, i32	 success=1000
m=103, i33	 success=1000
m=104, i34	 success=1000
m=105, i35	 success=1000
m=106, i36	 success=1000
m=107, i37	 success=1000
m=108, i38	 success=1000
m=109, i39	 success=1000
m=110, i40	 success=1000
m=111, i41	 success=1000
m=112, i42	 success=1000
m=113, i43	 success=1000
m=114, i44	 success=1000
m=115, i45	 success=1000
m=116, i46	 success=1000
m=117, i47	 success=1000
m=118, i48	 success=1000
m=119, i49	 success=1000
m=120, i50	 success=1000
m=121, i51	 success=1000
m=122, i52	 success=1000
m=123, i53	 success=1000
m=124, i54	 success=1000
m=125, i55	 success=1000
m=126, i56	 success=1000

--------------------
r=7, d=8, c=1, t=6

m=70, i3	 success=978
m=71, i4	 success=977
m=72, i5	 success=981
m=73, i6	 success=996
m=74, i7	 success=1000
m=75, i8	 success=1000
m=76, i9	 success=1000
m=77, i10	 success=1000
m=78, i11	 success=1000
m=79, i12	 success=1000
m=80, i13	 success=1000
m=81, i14	 success=1000
m=82, i15	 success=1000
m=83, i16	 success=1000
m=84, i17	 success=1000
m=85, i18	 success=1000
m=86, i19	 success=1000
m=87, i20	 success=1000
m=88, i21	 success=1000
m=89, i22	 success=1000
m=90, i23	 success=1000
m=91, i24	 success=1000
m=92, i25	 success=1000
m=93, i26	 success=1000
m=94, i27	 success=1000
m=95, i28	 success=1000
m=96, i29	 success=1000
m=97, i30	 success=1000
m=98, i31	 success=1000
m=99, i32	 success=1000
m=100, i33	 success=1000
m=101, i34	 success=1000
m=102, i35	 success=1000
m=103, i36	 success=1000
m=104, i37	 success=1000
m=105, i38	 success=1000
m=106, i39	 success=1000
m=107, i40	 success=1000
m=108, i41	 success=1000
m=109, i42	 success=1000
m=110, i43	 success=1000
m=111, i44	 success=1000
m=112, i45	 success=1000
m=113, i46	 success=1000
