
--------------------
r=5, d=8, c=1, t=3

m=63, i3	 success=987
m=64, i4	 success=992
m=65, i5	 success=987
m=66, i6	 success=981
m=67, i7	 success=990
m=68, i8	 success=998
m=69, i9	 success=990
m=70, i10	 success=986
m=71, i11	 success=988
m=72, i12	 success=983
m=73, i13	 success=990
m=74, i14	 success=994
m=75, i15	 success=994
m=76, i16	 success=994
m=77, i17	 success=999
m=78, i18	 success=998
m=79, i19	 success=1000
m=80, i20	 success=999
m=81, i21	 success=999
m=82, i22	 success=1000
m=83, i23	 success=1000
m=84, i24	 success=1000
m=85, i25	 success=1000
m=86, i26	 success=1000
m=87, i27	 success=1000
m=88, i28	 success=1000
m=89, i29	 success=1000
m=90, i30	 success=1000
m=91, i31	 success=1000
m=92, i32	 success=1000
m=93, i33	 success=1000
m=94, i34	 success=1000
m=95, i35	 success=1000
m=96, i36	 success=1000
m=97, i37	 success=1000
m=98, i38	 success=1000
m=99, i39	 success=1000
m=100, i40	 success=1000

--------------------
r=5, d=8, c=1, t=4

m=56, i3	 success=917
m=57, i4	 success=906
m=58, i5	 success=955
m=59, i6	 success=988
m=60, i7	 success=999
m=61, i8	 success=1000
m=62, i9	 success=1000
m=63, i10	 success=1000
m=64, i11	 success=1000
m=65, i12	 success=1000
m=66, i13	 success=1000
m=67, i14	 success=1000
m=68, i15	 success=1000
m=69, i16	 success=1000
m=70, i17	 success=1000
m=71, i18	 success=1000
m=72, i19	 success=1000
m=73, i20	 success=1000
m=74, i21	 success=1000
m=75, i22	 success=1000
m=76, i23	 success=1000
m=77, i24	 success=1000
m=78, i25	 success=1000
m=79, i26	 success=1000
m=80, i27	 success=1000
m=81, i28	 success=1000
m=82, i29	 success=1000
m=83, i30	 success=1000
m=84, i31	 success=1000
m=85, i32	 success=1000
m=86, i33	 success=1000
m=87, i34	 success=1000
m=88, i35	 success=1000
m=89, i36	 success=1000
m=90, i37	 success=1000
m=91, i38	 success=1000
m=92, i39	 success=1000
m=93, i40	 success=1000

--------------------
r=5, d=8, c=1, t=5

m=53, i3	 success=977
m=54, i4	 success=992
m=55, i5	 success=999
m=56, i6	 success=996
m=57, i7	 success=1000
m=58, i8	 success=999
m=59, i9	 success=1000
m=60, i10	 success=1000
m=61, i11	 success=1000
m=62, i12	 success=1000
m=63, i13	 success=1000
m=64, i14	 success=1000
m=65, i15	 success=1000
m=66, i16	 success=1000
m=67, i17	 success=1000
m=68, i18	 success=1000
m=69, i19	 success=1000
m=70, i20	 success=1000
m=71, i21	 success=1000
m=72, i22	 success=1000
m=73, i23	 success=1000
m=74, i24	 success=1000
m=75, i25	 success=1000
m=76, i26	 success=1000
m=77, i27	 success=1000
m=78, i28	 success=1000
m=79, i29	 success=1000
m=80, i30	 success=1000
m=81, i31	 success=1000
m=82, i32	 success=1000
m=83, i33	 success=1000
m=84, i34	 success=1000
m=85, i35	 success=1000
m=86, i36	 success=1000
m=87, i37	 success=1000
m=88, i38	 success=1000
m=89, i39	 success=1000
m=90, i40	 success=1000

--------------------
r=5, d=8, c=1, t=6

m=51, i3	 success=955
m=52, i4	 success=988
m=53, i5	 success=996
m=54, i6	 success=1000
m=55, i7	 success=1000
m=56, i8	 success=1000
m=57, i9	 success=1000
m=58, i10	 success=1000
m=59, i11	 success=1000
m=60, i12	 success=1000
m=61, i13	 success=1000
m=62, i14	 success=1000
m=63, i15	 success=1000
m=64, i16	 success=1000
m=65, i17	 success=1000
m=66, i18	 success=1000
m=67, i19	 success=1000
m=68, i20	 success=1000
m=69, i21	 success=1000
m=70, i22	 success=1000
m=71, i23	 success=1000
m=72, i24	 success=1000
m=73, i25	 success=1000
m=74, i26	 success=1000
m=75, i27	 success=1000
m=76, i28	 success=1000
m=77, i29	 success=1000
m=78, i30	 success=1000
m=79, i31	 success=1000
m=80, i32	 success=1000
m=81, i33	 success=1000
m=82, i34	 success=1000
m=83, i35	 success=1000
m=84, i36	 success=1000
m=85, i37	 success=1000
m=86, i38	 success=1000
m=87, i39	 success=1000
m=88, i40	 success=1000
