
--------------------
r=8, d=8, c=1, t=3

m=99, i3	 success=991
m=100, i4	 success=992
m=101, i5	 success=988
m=102, i6	 success=994
m=103, i7	 success=993
m=104, i8	 success=990
m=105, i9	 success=992
m=106, i10	 success=990
m=107, i11	 success=985
m=108, i12	 success=993
m=109, i13	 success=995
m=110, i14	 success=995
m=111, i15	 success=993
m=112, i16	 success=991
m=113, i17	 success=986
m=114, i18	 success=990
m=115, i19	 success=984
m=116, i20	 success=988
m=117, i21	 success=986
m=118, i22	 success=985
m=119, i23	 success=984
m=120, i24	 success=997
m=121, i25	 success=997
m=122, i26	 success=998
m=123, i27	 success=1000
m=124, i28	 success=1000
m=125, i29	 success=1000
m=126, i30	 success=1000
m=127, i31	 success=999
m=128, i32	 success=1000
m=129, i33	 success=1000
m=130, i34	 success=1000
m=131, i35	 success=1000
m=132, i36	 success=1000
m=133, i37	 success=1000
m=134, i38	 success=1000
m=135, i39	 success=1000
m=136, i40	 success=1000
m=137, i41	 success=1000
m=138, i42	 success=1000
m=139, i43	 success=1000
m=140, i44	 success=1000
m=141, i45	 success=1000
m=142, i46	 success=1000
m=143, i47	 success=1000
m=144, i48	 success=1000
m=145, i49	 success=1000
m=146, i50	 success=1000
m=147, i51	 success=1000
m=148, i52	 success=1000
m=149, i53	 success=1000
m=150, i54	 success=1000
m=151, i55	 success=1000
m=152, i56	 success=1000
m=153, i57	 success=1000
m=154, i58	 success=1000
m=155, i59	 success=1000
m=156, i60	 success=1000
m=157, i61	 success=1000
m=158, i62	 success=1000
m=159, i63	 success=1000
m=160, i64	 success=1000

--------------------
r=8, d=8, c=1, t=4

m=88, i3	 success=944
m=89, i4	 success=949
m=90, i5	 success=934
m=91, i6	 success=934
m=92, i7	 success=963
m=93, i8	 success=981
m=94, i9	 success=997
m=95, i10	 success=1000
m=96, i11	 success=1000
m=97, i12	 success=1000
m=98, i13	 success=1000
m=99, i14	 success=1000
m=100, i15	 success=1000
m=101, i16	 success=1000
m=102, i17	 success=1000
m=103, i18	 success=1000
m=104, i19	 success=1000
m=105, i20	 success=1000
m=106, i21	 success=1000
m=107, i22	 success=1000
m=108, i23	 success=1000
m=109, i24	 success=1000
m=110, i25	 success=1000
m=111, i26	 success=1000
m=112, i27	 success=1000
m=113, i28	 success=1000
m=114, i29	 success=1000
m=115, i30	 success=1000
m=116, i31	 success=1000
m=117, i32	 success=1000
m=118, i33	 success=1000
m=119, i34	 success=1000
m=120, i35	 success=1000
m=121, i36	 success=1000
m=122, i37	 success=1000
m=123, i38	 success=1000
m=124, i39	 success=1000
m=125, i40	 success=1000
m=126, i41	 success=1000
m=127, i42	 success=1000
m=128, i43	 success=1000
m=129, i44	 success=1000
m=130, i45	 success=1000
m=131, i46	 success=1000
m=132, i47	 success=1000
m=133, i48	 success=1000
m=134, i49	 success=1000
m=135, i50	 success=1000
m=136, i51	 success=1000
m=137, i52	 success=1000
m=138, i53	 success=1000
m=139, i54	 success=1000
m=140, i55	 success=1000
m=141, i56	 success=1000
m=142, i57	 success=1000
m=143, i58	 success=1000
m=144, i59	 success=1000
m=145, i60	 success=1000
m=146, i61	 success=1000
m=147, i62	 success=1000
m=148, i63	 success=1000
m=149, i64	 success=1000

--------------------
r=8, d=8, c=1, t=5

m=83, i3	 success=911
m=84, i4	 success=989
m=85, i5	 success=997
m=86, i6	 success=997
m=87, i7	 success=998
m=88, i8	 success=1000
m=89, i9	 success=998
m=90, i10	 success=1000
m=91, i11	 success=1000
m=92, i12	 success=1000
m=93, i13	 success=1000
m=94, i14	 success=999
m=95, i15	 success=1000
m=96, i16	 success=1000
m=97, i17	 success=1000
m=98, i18	 success=1000
m=99, i19	 success=1000
m=100, i20	 success=1000
m=101, i21	 success=1000
m=102, i22	 success=1000
m=103, i23	 success=1000
m=104, i24	 success=1000
m=105, i25	 success=1000
m=106, i26	 success=1000
m=107, i27	 success=1000
m=108, i28	 success=1000
m=109, i29	 success=1000
m=110, i30	 success=1000
m=111, i31	 success=1000
m=112, i32	 success=1000
m=113, i33	 success=1000
m=114, i34	 success=1000
m=115, i35	 success=1000
m=116, i36	 success=1000
m=117, i37	 success=1000
m=118, i38	 success=1000
m=119, i39	 success=1000
m=120, i40	 success=1000
m=121, i41	 success=1000
m=122, i42	 success=1000
m=123, i43	 success=1000
m=124, i44	 success=1000
m=125, i45	 success=1000
m=126, i46	 success=1000
m=127, i47	 success=1000
m=128, i48	 success=1000
m=129, i49	 success=1000
m=130, i50	 success=1000
m=131, i51	 success=1000
m=132, i52	 success=1000
m=133, i53	 success=1000
m=134, i54	 success=1000
m=135, i55	 success=1000
m=136, i56	 success=1000
m=137, i57	 success=1000
m=138, i58	 success=1000
m=139, i59	 success=1000
m=140, i60	 success=1000
m=141, i61	 success=1000
m=142, i62	 success=1000
m=143, i63	 success=1000
m=144, i64	 success=1000

--------------------
r=8, d=8, c=1, t=6

m=79, i3	 success=932
m=80, i4	 success=982
m=81, i5	 success=979
m=82, i6	 success=989
m=83, i7	 success=992
m=84, i8	 success=1000
m=85, i9	 success=1000
m=86, i10	 success=1000
m=87, i11	 success=1000
m=88, i12	 success=1000
m=89, i13	 success=1000
m=90, i14	 success=1000
m=91, i15	 success=1000
m=92, i16	 success=1000
m=93, i17	 success=1000
m=94, i18	 success=1000
m=95, i19	 success=1000
m=96, i20	 success=1000
m=97, i21	 success=1000
m=98, i22	 success=1000
m=99, i23	 success=1000
m=100, i24	 success=1000
m=101, i25	 success=1000
m=102, i26	 success=1000
m=103, i27	 success=1000
m=104, i28	 success=1000
m=105, i29	 success=1000
m=106, i30	 success=1000
m=107, i31	 success=1000
m=108, i32	 success=1000
m=109, i33	 success=1000
m=110, i34	 success=1000
m=111, i35	 success=1000
m=112, i36	 success=1000
m=113, i37	 success=1000
m=114, i38	 success=1000
m=115, i39	 success=1000
m=116, i40	 success=1000
m=117, i41	 success=1000
m=118, i42	 success=1000
m=119, i43	 success=1000
m=120, i44	 success=1000
m=121, i45	 success=1000
m=122, i46	 success=1000
m=123, i47	 success=1000
m=124, i48	 success=1000
m=125, i49	 success=1000
m=126, i50	 success=1000
m=127, i51	 success=1000
m=128, i52	 success=1000
m=129, i53	 success=1000
m=130, i54	 success=1000
m=131, i55	 success=1000
m=132, i56	 success=1000
m=133, i57	 success=1000
m=134, i58	 success=1000
m=135, i59	 success=1000
m=136, i60	 success=1000
m=137, i61	 success=1000
m=138, i62	 success=1000
m=139, i63	 success=1000
m=140, i64	 success=1000

--------------------
r=8, d=8, c=1, t=7

m=77, i3	 success=806
m=78, i4	 success=866
m=79, i5	 success=985
m=80, i6	 success=998
m=81, i7	 success=1000
m=82, i8	 success=998
m=83, i9	 success=1000
m=84, i10	 success=1000
m=85, i11	 success=1000
m=86, i12	 success=1000
m=87, i13	 success=1000
m=88, i14	 success=1000
m=89, i15	 success=1000
m=90, i16	 success=1000
m=91, i17	 success=1000
m=92, i18	 success=1000
m=93, i19	 success=1000
m=94, i20	 success=1000
m=95, i21	 success=1000
m=96, i22	 success=1000
m=97, i23	 success=1000
m=98, i24	 success=1000
m=99, i25	 success=1000
m=100, i26	 success=1000
m=101, i27	 success=1000
m=102, i28	 success=1000
m=103, i29	 success=1000
m=104, i30	 success=1000
m=105, i31	 success=1000
m=106, i32	 success=1000
m=107, i33	 success=1000
m=108, i34	 success=1000
m=109, i35	 success=1000
m=110, i36	 success=1000
m=111, i37	 success=1000
m=112, i38	 success=1000
m=113, i39	 success=1000
m=114, i40	 success=1000
m=115, i41	 success=1000
m=116, i42	 success=1000
m=117, i43	 success=1000
m=118, i44	 success=1000
m=119, i45	 success=1000
m=120, i46	 success=1000
m=121, i47	 success=1000
m=122, i48	 success=1000
m=123, i49	 success=1000
m=124, i50	 success=1000
m=125, i51	 success=1000
m=126, i52	 success=1000
m=127, i53	 success=1000
m=128, i54	 success=1000
m=129, i55	 success=1000
m=130, i56	 success=1000
m=131, i57	 success=1000
m=132, i58	 success=1000
m=133, i59	 success=1000
m=134, i60	 success=1000
m=135, i61	 success=1000
m=136, i62	 success=1000
m=137, i63	 success=1000
m=138, i64	 success=1000

--------------------
r=8, d=8, c=1, t=8

m=76, i3	 success=851
m=77, i4	 success=953
m=78, i5	 success=975
m=79, i6	 success=999
m=80, i7	 success=1000
m=81, i8	 success=1000
m=82, i9	 success=1000
m=83, i10	 success=1000
m=84, i11	 success=1000
m=85, i12	 success=1000
m=86, i13	 success=1000
m=87, i14	 success=1000
m=88, i15	 success=1000
m=89, i16	 success=1000
m=90, i17	 success=1000
m=91, i18	 success=1000
m=92, i19	 success=1000
m=93, i20	 success=1000
m=94, i21	 success=1000
m=95, i22	 success=1000
m=96, i23	 success=1000
m=97, i24	 success=1000
m=98, i25	 success=1000
m=99, i26	 success=1000
m=100, i27	 success=1000
m=101, i28	 success=1000
m=102, i29	 success=1000
m=103, i30	 success=1000
m=104, i31	 success=1000
m=105, i32	 success=1000
m=106, i33	 success=1000
m=107, i34	 success=1000
m=108, i35	 success=1000
m=109, i36	 success=1000
m=110, i37	 success=1000
m=111, i38	 success=1000
m=112, i39	 success=1000
m=113, i40	 success=1000
m=114, i41	 success=1000
m=115, i42	 success=1000
m=116, i43	 success=1000
m=117, i44	 success=1000
m=118, i45	 success=1000
m=119, i46	 success=1000
m=120, i47	 success=1000
m=121, i48	 success=1000
m=122, i49	 success=1000
m=123, i50	 success=1000
m=124, i51	 success=1000
m=125, i52	 success=1000
m=126, i53	 success=1000
m=127, i54	 success=1000
m=128, i55	 success=1000
m=129, i56	 success=1000
m=130, i57	 success=1000
m=131, i58	 success=1000
m=132, i59	 success=1000
m=133, i60	 success=1000
m=134, i61	 success=1000
m=135, i62	 success=1000
m=136, i63	 success=1000
m=137, i64	 success=1000

--------------------
r=8, d=8, c=1, t=9

m=75, i3	 success=417
m=76, i4	 success=946
m=77, i5	 success=993
m=78, i6	 success=990
m=79, i7	 success=998
m=80, i8	 success=1000
m=81, i9	 success=1000
m=82, i10	 success=1000
m=83, i11	 success=1000
m=84, i12	 success=1000
m=85, i13	 success=1000
m=86, i14	 success=1000
m=87, i15	 success=1000
m=88, i16	 success=1000
m=89, i17	 success=1000
m=90, i18	 success=1000
m=91, i19	 success=1000
m=92, i20	 success=1000
m=93, i21	 success=1000
m=94, i22	 success=1000
m=95, i23	 success=1000
m=96, i24	 success=1000
m=97, i25	 success=1000
m=98, i26	 success=1000
m=99, i27	 success=1000
m=100, i28	 success=1000
m=101, i29	 success=1000
m=102, i30	 success=1000
m=103, i31	 success=1000
m=104, i32	 success=1000
m=105, i33	 success=1000
m=106, i34	 success=1000
m=107, i35	 success=1000
m=108, i36	 success=1000
m=109, i37	 success=1000
m=110, i38	 success=1000
m=111, i39	 success=1000
m=112, i40	 success=1000
m=113, i41	 success=1000
m=114, i42	 success=1000
m=115, i43	 success=1000
m=116, i44	 success=1000
m=117, i45	 success=1000
m=118, i46	 success=1000
m=119, i47	 success=1000
m=120, i48	 success=1000
m=121, i49	 success=1000
m=122, i50	 success=1000
m=123, i51	 success=1000
m=124, i52	 success=1000
m=125, i53	 success=1000
m=126, i54	 success=1000
m=127, i55	 success=1000
m=128, i56	 success=1000
m=129, i57	 success=1000
m=130, i58	 success=1000
m=131, i59	 success=1000
m=132, i60	 success=1000
m=133, i61	 success=1000
m=134, i62	 success=1000
m=135, i63	 success=1000
m=136, i64	 success=1000
