
--------------------
r=6, d=7, c=1, t=3

m=66, i3	 success=978
m=67, i4	 success=970
m=68, i5	 success=980
m=69, i6	 success=979
m=70, i7	 success=983
m=71, i8	 success=978
m=72, i9	 success=983
m=73, i10	 success=979
m=74, i11	 success=977
m=75, i12	 success=975
m=76, i13	 success=975
m=77, i14	 success=982
m=78, i15	 success=980
m=79, i16	 success=996
m=80, i17	 success=997
m=81, i18	 success=996
m=82, i19	 success=999
m=83, i20	 success=999
m=84, i21	 success=1000
m=85, i22	 success=1000
m=86, i23	 success=1000
m=87, i24	 success=1000
m=88, i25	 success=1000
m=89, i26	 success=1000
m=90, i27	 success=1000
m=91, i28	 success=1000
m=92, i29	 success=1000
m=93, i30	 success=1000
m=94, i31	 success=1000
m=95, i32	 success=1000
m=96, i33	 success=1000
m=97, i34	 success=1000
m=98, i35	 success=1000
m=99, i36	 success=1000
m=100, i37	 success=1000
m=101, i38	 success=1000
m=102, i39	 success=1000
m=103, i40	 success=1000
m=104, i41	 success=1000
m=105, i42	 success=1000

--------------------
r=6, d=7, c=1, t=4

m=59, i3	 success=847
m=60, i4	 success=884
m=61, i5	 success=968
m=62, i6	 success=995
m=63, i7	 success=998
m=64, i8	 success=998
m=65, i9	 success=1000
m=66, i10	 success=1000
m=67, i11	 success=1000
m=68, i12	 success=1000
m=69, i13	 success=1000
m=70, i14	 success=1000
m=71, i15	 success=1000
m=72, i16	 success=1000
m=73, i17	 success=1000
m=74, i18	 success=1000
m=75, i19	 success=1000
m=76, i20	 success=1000
m=77, i21	 success=1000
m=78, i22	 success=1000
m=79, i23	 success=1000
m=80, i24	 success=1000
m=81, i25	 success=1000
m=82, i26	 success=1000
m=83, i27	 success=1000
m=84, i28	 success=1000
m=85, i29	 success=1000
m=86, i30	 success=1000
m=87, i31	 success=1000
m=88, i32	 success=1000
m=89, i33	 success=1000
m=90, i34	 success=1000
m=91, i35	 success=1000
m=92, i36	 success=1000
m=93, i37	 success=1000
m=94, i38	 success=1000
m=95, i39	 success=1000
m=96, i40	 success=1000
m=97, i41	 success=1000
m=98, i42	 success=1000

--------------------
r=6, d=7, c=1, t=5

m=55, i3	 success=910
m=56, i4	 success=990
m=57, i5	 success=988
m=58, i6	 success=995
m=59, i7	 success=993
m=60, i8	 success=993
m=61, i9	 success=999
m=62, i10	 success=1000
m=63, i11	 success=1000
m=64, i12	 success=1000
m=65, i13	 success=1000
m=66, i14	 success=1000
m=67, i15	 success=1000
m=68, i16	 success=1000
m=69, i17	 success=1000
m=70, i18	 success=1000
m=71, i19	 success=1000
m=72, i20	 success=1000
m=73, i21	 success=1000
m=74, i22	 success=1000
m=75, i23	 success=1000
m=76, i24	 success=1000
m=77, i25	 success=1000
m=78, i26	 success=1000
m=79, i27	 success=1000
m=80, i28	 success=1000
m=81, i29	 success=1000
m=82, i30	 success=1000
m=83, i31	 success=1000
m=84, i32	 success=1000
m=85, i33	 success=1000
m=86, i34	 success=1000
m=87, i35	 success=1000
m=88, i36	 success=1000
m=89, i37	 success=1000
m=90, i38	 success=1000
m=91, i39	 success=1000
m=92, i40	 success=1000
m=93, i41	 success=1000
m=94, i42	 success=1000

--------------------
r=6, d=7, c=1, t=6

m=53, i3	 success=852
m=54, i4	 success=893
m=55, i5	 success=991
m=56, i6	 success=999
m=57, i7	 success=1000
m=58, i8	 success=1000
m=59, i9	 success=1000
m=60, i10	 success=1000
m=61, i11	 success=1000
m=62, i12	 success=1000
m=63, i13	 success=1000
m=64, i14	 success=1000
m=65, i15	 success=1000
m=66, i16	 success=1000
m=67, i17	 success=1000
m=68, i18	 success=1000
m=69, i19	 success=1000
m=70, i20	 success=1000
m=71, i21	 success=1000
m=72, i22	 success=1000
m=73, i23	 success=1000
m=74, i24	 success=1000
m=75, i25	 success=1000
m=76, i26	 success=1000
m=77, i27	 success=1000
m=78, i28	 success=1000
m=79, i29	 success=1000
m=80, i30	 success=1000
m=81, i31	 success=1000
m=82, i32	 success=1000
m=83, i33	 success=1000
m=84, i34	 success=1000
m=85, i35	 success=1000
m=86, i36	 success=1000
m=87, i37	 success=1000
m=88, i38	 success=1000
m=89, i39	 success=1000
m=90, i40	 success=1000
m=91, i41	 success=1000
m=92, i42	 success=1000

--------------------
r=6, d=7, c=1, t=7

m=52, i3	 success=882
m=53, i4	 success=977
m=54, i5	 success=977
m=55, i6	 success=998
m=56, i7	 success=1000
m=57, i8	 success=1000
m=58, i9	 success=1000
m=59, i10	 success=1000
m=60, i11	 success=1000
m=61, i12	 success=1000
m=62, i13	 success=1000
m=63, i14	 success=1000
m=64, i15	 success=1000
m=65, i16	 success=1000
m=66, i17	 success=1000
m=67, i18	 success=1000
m=68, i19	 success=1000
m=69, i20	 success=1000
m=70, i21	 success=1000
m=71, i22	 success=1000
m=72, i23	 success=1000
m=73, i24	 success=1000
m=74, i25	 success=1000
m=75, i26	 success=1000
m=76, i27	 success=1000
m=77, i28	 success=1000
m=78, i29	 success=1000
m=79, i30	 success=1000
m=80, i31	 success=1000
m=81, i32	 success=1000
m=82, i33	 success=1000
m=83, i34	 success=1000
m=84, i35	 success=1000
m=85, i36	 success=1000
m=86, i37	 success=1000
m=87, i38	 success=1000
m=88, i39	 success=1000
m=89, i40	 success=1000
m=90, i41	 success=1000
m=91, i42	 success=1000
